X,Y,veg2010,TRI,snowcov,HFI2012
319994.1485,6006465,147.3639,29.32734,10.14063,128
323994.1485,6006465,176.6448,17.78906,9.46875,128
327994.1485,6006465,162.64674,16.63458,5.76563,128
331994.1485,6006465,199.48533,16.3007,0.84375,126.8896
335994.1485,6006465,200.4837,12.33162,0.59375,125.31324
339994.1485,6006465,197.99658,14.30096,1.9375,125.70271
343994.1485,6006465,193.85559,17.25961,4.1875,126.73898
347994.1485,6006465,176.36227,14.7967,1.82813,126.7547
351994.1485,6006465,187.3837,13.03217,0.60938,125.61215
355994.1485,6006465,198.12741,10.78828,0.96875,126.59115
359994.1485,6006465,203.95668,11.96,3.5,125.35925
363994.1485,6006465,201.07143,9.37642,2.89063,126.01029
367994.1485,6006465,192.61988,9.99343,1.57813,117.74798
371994.1485,6006465,172.62733,10.5214,1.26563,109.55082
375994.1485,6006465,157.87275,9.56797,0.39063,98.17341
379994.1485,6006465,165.17966,9.32118,0.1875,97.79658
383994.1485,6006465,149.70334,9.86762,0.26563,92.77209
387994.1485,6006465,151.56429,9.03819,0.14063,86.2755
391994.1485,6006465,153.65171,7.31262,0.21875,77.20713
395994.1485,6006465,183.66398,10.80876,0.09375,125.82539
399994.1485,6006465,203.92182,10.23708,0,122.16774
403994.1485,6006465,211.26739,12.55327,0.15625,126.01817
407994.1485,6006465,198.17321,10.11446,1.28125,92.54392
411994.1485,6006465,206.73602,7.95488,1.67857,94.688
415994.1485,6006465,133.09317,9.69603,1.3125,68.38863
419994.1485,6006465,146.11693,7.67954,2.14063,89.55113
423994.1485,6006465,134.60248,2.74004,2.71875,94.94146
427994.1485,6006465,194.60854,2.88694,1.5625,121.63643
431994.1485,6006465,202.04984,3.07945,1.3125,115.86149
435994.1485,6006465,206.64356,3.62728,1.0625,127.56172
439994.1485,6006465,210.49146,2.1775,0.75,127.36141
443994.1485,6006465,198.36149,2.69393,1.625,125.4168
447994.1485,6006465,192.03284,3.28289,1.4375,127.67882
303994.1485,6002465,166.57895,0,8.25,128
307994.1485,6002465,159.54984,7.18078,10.125,127.99514
311994.1485,6002465,190.7684,9.76352,9.03125,127.99511
315994.1485,6002465,122.71203,16.03912,10.73438,128
319994.1485,6002465,89.1611,21.32524,11.625,128
323994.1485,6002465,102.90148,25.71209,11.0625,128
327994.1485,6002465,199.85489,18.40101,6.0625,128
